enrollee_id,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
8949,0.92,1,0,2,0,5,21,4,5,0,36,1.0
29725,0.7759999999999999,1,1,2,0,5,15,4,5,4,47,0.0
11561,0.624,1,1,0,0,5,5,4,5,5,83,0.0
33241,0.789,1,1,2,0,1,0,4,5,5,52,1.0
666,0.767,1,0,2,2,5,21,4,1,3,8,0.0
21651,0.764,1,0,1,0,5,11,4,5,0,24,1.0
28806,0.92,1,0,2,1,5,5,4,1,0,24,0.0
402,0.762,1,0,2,0,5,13,7,5,4,18,1.0
27107,0.92,1,0,2,0,5,7,4,5,0,46,1.0
699,0.92,1,0,2,0,5,17,3,5,4,123,0.0
29452,0.624,1,1,0,1,5,2,4,5,5,32,1.0
23853,0.92,1,0,2,0,5,5,6,5,0,108,0.0
25619,0.913,1,0,2,0,5,21,2,5,2,23,0.0
5826,0.624,1,1,2,0,5,2,4,5,5,24,0.0
8722,0.624,1,1,0,1,5,5,4,5,5,26,0.0
6588,0.926,1,0,2,0,5,16,0,5,4,18,0.0
4167,0.92,1,0,2,0,5,1,4,5,5,106,0.0
5764,0.624,1,0,2,0,5,2,6,5,1,7,0.0
2156,0.624,1,0,2,0,5,7,3,5,5,23,1.0
11399,0.8270000000000001,0,0,2,0,0,4,4,5,0,132,1.0
31972,0.843,1,0,2,2,5,11,1,5,0,68,0.0
19061,0.926,1,0,2,2,5,11,1,5,1,50,0.0
6491,0.804,1,0,2,2,5,10,4,5,0,48,0.0
7041,0.7759999999999999,1,0,2,0,2,0,2,5,0,65,0.0
22767,0.624,1,0,2,0,5,5,2,5,0,13,0.0
14505,0.855,1,1,2,1,5,4,4,5,5,22,0.0
17139,0.624,1,0,1,0,5,14,5,5,0,148,1.0
28476,0.92,1,0,2,0,0,5,4,5,1,72,0.0
21538,0.887,1,0,2,1,5,11,7,5,0,8,1.0
10408,0.624,1,0,2,0,5,18,4,1,1,68,1.0
14928,0.92,1,0,2,0,5,21,1,5,2,40,0.0
22293,0.92,1,0,1,0,5,19,6,5,4,141,0.0
4324,0.92,0,1,0,0,5,5,4,5,0,24,0.0
26966,0.92,0,0,2,0,5,21,1,5,4,82,0.0
26494,0.91,1,0,2,0,1,12,6,5,2,145,0.0
4866,0.92,1,0,2,0,5,10,0,0,1,206,0.0
12726,0.926,1,1,1,1,5,1,3,3,0,152,0.0
10164,0.926,1,0,2,3,5,21,1,5,3,42,1.0
8612,0.92,1,1,2,0,5,12,4,5,3,50,0.0
24659,0.884,1,1,2,0,5,3,4,5,5,106,0.0
2547,0.926,0,0,0,2,5,16,2,4,1,14,0.0
13854,0.924,1,0,2,1,5,4,0,5,1,36,0.0
31654,0.624,1,0,2,2,5,6,4,0,0,112,1.0
13643,0.6659999999999999,1,1,2,0,3,9,4,5,5,108,0.0
5590,0.624,1,0,1,2,5,9,6,5,2,7,1.0
22452,0.624,0,1,0,2,5,5,4,5,5,26,1.0
9006,0.624,1,0,2,0,5,5,1,5,5,87,1.0
25987,0.92,2,0,2,0,5,19,3,4,3,52,1.0
4476,0.5579999999999999,1,0,2,0,3,15,4,5,4,20,1.0
25103,0.923,1,0,2,0,5,11,0,5,0,21,0.0
5568,0.5579999999999999,1,1,2,0,5,4,4,5,0,92,1.0
2195,0.6659999999999999,1,0,2,0,5,10,1,5,1,102,0.0
30533,0.794,1,1,2,0,2,5,3,5,4,26,0.0
28512,0.924,1,0,2,2,5,3,7,0,1,7,0.0
1023,0.926,1,1,0,1,5,4,3,5,0,43,0.0
12253,0.924,1,0,2,0,5,21,1,5,0,45,0.0
25296,0.754,1,0,0,0,5,2,4,0,1,52,0.0
13238,0.92,1,0,2,0,5,21,4,5,1,19,0.0
13478,0.624,1,0,0,0,5,2,0,1,0,32,1.0
18578,0.767,1,0,2,0,2,21,1,5,4,26,1.0
29975,0.855,1,0,1,0,5,6,4,5,0,90,0.0
26516,0.939,1,0,2,0,5,6,1,5,2,25,0.0
24690,0.8270000000000001,1,0,2,2,5,13,7,5,0,15,0.0
8433,0.887,1,0,2,2,2,21,1,5,4,48,0.0
9572,0.55,1,1,0,1,5,3,4,5,0,98,0.0
5878,0.865,1,0,2,0,5,10,4,5,1,142,1.0
25695,0.855,2,1,2,2,2,4,3,5,3,13,0.0
9645,0.91,1,0,2,0,5,15,4,5,4,47,0.0
12730,0.91,0,0,2,2,2,14,5,4,0,28,0.0
4830,0.698,1,1,2,0,5,2,4,5,5,228,1.0
20970,0.6659999999999999,1,0,2,0,5,21,4,5,3,22,0.0
17271,0.624,1,1,0,0,5,0,4,5,5,18,1.0
12731,0.8270000000000001,1,0,2,0,5,2,0,5,0,29,0.0
10908,0.855,1,0,2,2,5,5,1,5,0,46,0.0
29117,0.55,1,1,0,0,5,0,4,5,5,12,0.0
3686,0.92,1,0,2,0,5,5,1,5,1,17,0.0
22683,0.893,1,0,2,2,5,5,4,5,1,65,0.0
